番号,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
施設,入口,オムニバス,リバー鉄道,カリブの海賊,ジャングル,ツリーハウス,魅惑のチキルーム,ビッグサンダー,Sギャラリー,ベアシアター,いかだ,蒸気船,スプラッシュ,カヌー探検,スモールワールド,ハニーハント,ホーンテッド,アリス,カルーセル,シンデレラ,ピノキオ,ピーターパン,フィルハー,白雪姫,空飛ぶダンボ,ゴーコースター,グーフィー,CDツリーハウス,ドナルドのボート,ミニーの家,カートゥーン,スターツアーズ,スペース,バズライトイヤー,モンイン,美女と野獣,ベイマックス,スティッチENC
x,280,310,135,210,140,175,160,110,125,180,95,175,210,110,330,380,250,305,280,280,340,205,315,240,250,470,415,470,440,465,410,385,425,370,365,490,400,375
y,360,320,290,385,320,290,260,175,205,205,120,135,70,55,120,140,120,160,165,240,165,175,180,225,160,165,145,150,150,125,75,390,320,325,415,210,250,300
